Koivukylä;KVY
Kymi;KY
Kylänlahti;KYN
Karvoskylä;KVÄ
Kylmäkoski;KYL
Kyläpaakkola;KYP
Kymintehdas;KYT
Kyyrönlampi;KYY
Kärväsvaara;KÄ
Kovajärvi;KÄI
Käkisalmi;KÄK
Käkinotko;KÄN
Käpylä;KÄP
Kyrö;KÖ
Käppäselkä;KÄS
Käyrä;KÄY
Köhniönjärvi;KÖJ
Köykkäri;KÖK
Kömi;KÖM
Könönpelto;KÖP
Köyry;KÖR
Lappila;LA
Laihia;LAI
Lahti;LH
Lautiosaari;LI
Lakiala;LAK
Lapaluoto;LAL
Lamminniemi;LAM
Latu;LAT
Laukaa;LAU
Laajavuori;LAV
Liedakkala;LDL
Leino;LEI
Lentoasema;LEN
Lieto;LEO
Leppälahti;LEP
Lahnaslampi;LHN
Lapinaho;LHO
Lahdenpohja;LHP
Lähessuo;LHS
Lahdenvaara;LHV
Lautiosaari;LI
Lapalie;LIE
Liikkala;LIK
Liimatta;LIM
Lippo;LIP
Lieksa;LIS
Littoinen;LIT
Laaja;LJA
Leinjärvi;LJV
Leppäkoski;LK
Liminka;LKA
Lautakangas;LKG
Laikko;LKK
Lelkola;LKL
Lamminkylä;LKY
Läyliäinen;LL
Laurila;LLA
Lielahti;LLH
Loimaa;LM
Luoma;LMA
Linnamäki;LM
Lamminkoski;LMK
Lehmo;LMO
Liminpuro;LMP
Lamminsalo;LMS
Lemettilä;LMT
Lamminmäki;LMÄ
Linna;LN
Lapinlahti;LNA
Lehtoniemi;LNI
Lounatjoki;LNJ
Linnanpelto;LNP
Lapinnummi;LNU
Linnava;LNV
Leinelä;LNÄ
Lohja;LO
Louhela;LOH
Loimola;LOI
Lohjanjärvi;LOJ
Loukolampi;LOL
Lonkka;LON
Loue;LOU
Lapua;LPA
Liperi;LPE
Leppävesi;LPI
Lapinjärvi;LPJ
Lapinkylä;LPK
Lapinmäki;LPM
Lapinneva;LPN
Lappohja;LPO
Lahdenperä;LPR
Leppäsyrjä;LPS
Leppäsilta;LPT
Lampu;LPU
Leppävaara;LPV
Lempäälä;LPÄ
Lappeenranta;LR
Lauritsala;LRS
Levaschovo;LS
Lisma;LSM
Lauste;LST
Lintala;LTA
Loikanlahti;LTI
Latukka;LTK
Leteensuo;LTS
Laitaatsilta;LTT
Latva;LTV
Lemetty;LTY
Louko;LU
Luha;LUA
Luhtisilta;LUH
Luikonlahti;LUI
Laukkala;LUK
Lustikulla;LUL
Lohiluoma;LUO
Lusto;LUS
Leukaluut;LUT
Loviisa;LVA
Loviisa;LVA
Lavapuro;LVP
Loviisan satama;LVS
Lievestuore;LVT
Länsisatama;LÄN
Lyly;LY
Lyytilänmäki;LYT
Larvakytö;LYÖ
Luumäki;LÄ
Masala;MAS
Muhos;MH
Mikkeli;MI
Misi;MIS
Minkiö;MIÖ
Myllykoski;MKI
Malmi;ML
Mommila;MLA
Malminkartano;MLO
Mäntyluoto;MN
Mankki;MNK
Mäntyharju;MR
Martinlaakso;MRL
Messukylä;MSK
Mussalo;MSS
Muurola;MUL
Myllymäki;MY
Myyrmäki;MYR
Mynttilä;MYT
Mäkkylä;MÄK
Matkala;MAA
Mahala;MAH
Marinkylä;MAK
Mantilo;MAN
Martinniemi;MAR
Masala;MAS
Mattila;MAT
Maukkula;MAU
Madesjärvi;MD
Madekoski;MDK
Mellilä;ME
Melkkola;MEL
Merstola;MER
Metro;METR
Muhos;MH
Mouhu;MHU
Mehtälä;MHÄ
Mikkeli;MI
Mieto;MIE
Michelspiltom;MIL
Misi;MIS
Minkiö;MIÖ
Mesterjärvi;MJ
Majajärvi;MJJ
Matku;MK
Mankala;MKA
Miekelä;MKE
Myllykangas;MKG
Myllykoski;MKI
Munakka;MKK
Metsäkylä;MKL
Maksniemi;MKN
Muukko;MKO
Makarla;MKR
Makslahti;MKS
Masku;MKU
Mäenkylä;MKY
Mänselkä;MKÄ
Malmi;ML
Mommila;MLA
Metsolahti;MLH
Mielojärvi;MLJ
Maanselkä;MLK
Melalahti;MLL
Malminkartano;MLO
Matkalampi;MLP
Mäntylahti;MLT
Myllylä;MLY
Mäntsälä;MLÄ
Marjomäki;MM
Mäntyluoto;MN
Mankki;MNK
Miinala;MNL
Moisio;MOI
Monola;MOL
Monni;MON
Myllypuro;MP
Mäenpää;MPÄ
Mäntyharju;MR
Maaria;MRI
Maarjärvi;MRJ
Markkala;MRK
Martinlaakso;MRL
Martimo;MRO
Myrrä;MRÄ
Multisilta;MS
Mustasaari;MSA
Messukylä;MSK
Mieslahti;MSL
Mustio;MSO
Massilanmäki;MSS
Mustolan satama;MST
Metsäkansa;MSÄ
Mustamäki;MT
Meteli;MTE
Mattila;MTL
Mäntynen;MTN
Matkaneva;MTV
Muijala;MUI
Mukkula;MUK
Mustakallio;MUKA
Muurola;MUL
Multamäki;MUM
Mulo;MUO
Murtomäki;MUR
Muuras;MUS
Mutka;MUT
Muurame;MUU
Maavesi;MV
Myllymäki;MY
Mykänmäki;MYK
Myllyoja;MYL
Mynämäki;MYN
Myllypelto;MYP
Myyrmäki;MYR
Myllykangas;MYS
Mynttilä;MYT
Myrskylä;MYÄ
Myrskylä;MYÄ
Mäkkylä;MÄK
Mäkelä;ÄL
Mänttä;MÄN
Mätäsvaara;MÄS
Nahkola;NAH
Naistenjärvi;NAJ
Nakkila;NAL
Neste;NES
Hunsala;NHNS
Niesa;NIE
Niinimaa;NII
Nikkarila;NIK
Nirkki;NIR
Niskos;NIS
Niemisjärvi;NJ
Nujula;NJL
Naarakoski;NKO
Noormarkku;NKU
Notkola;NLA
Nuolijärvi;NLJ
Naantali;NNL
Naantalin satama;NLS
Nikkilä;NLÄ
Nummela;NM
Niemi;NMI
Naamijoki;NMJ
Nostamo;NMO
Niemenpää;NMP
Niemiskylä;NMY
Niinimäki;NMÄ
Nunna;NNA
Niinisalo;NNS
Niinivaara;NNV
Nokia;NOA
Niirala;NRL
Nurmes;NRM
Nuojua;NUA
Nurmenkylä;NUM
Nuppulinna;NUP
Nurmo;NUR
Nutturla;NUT
Niva;NV
Nostava;NVA
Nivala;NVL
Nivavaara;NVV
Nykyme;NYK
Nivala;NVL
Näljäneva;NÄL
Näpiö;NÄR
Näätäjoki;NÄÄ
Ohenmäki;OHM
Olkiaho;OHO
Oitti;OI
Kouvola oikoraide;OIK
Ojakkala;OJA
Ojanmaa;OJM
Okkula;OK
Outokumpu k;OKK
Okeroinen;OKR
Outokumpu;OKU
Oulu;OL
Oulunkylä;OLK
Oulunlahti;OLL
Olli;OLLI
Oulu tavara;OLT
Orimattila;OM
Omenamäki;OME
Onkamo;OMO
Onttola;ONT
Oulu Oritkari;ORI
Onkamo;ONK
Orilampi;ORL
Orsijoki;ORS
Oserki;OS
Oksava;OSA
Otava;OT
Oulainen;OU
Otanmäki;OTM
Outinen;OTN
Otalampi;OTP
Otavan satama;OTS
Oulu l;OUL
Orivesi;OV
Olhava;OVA
Oravijärvi;OVJ
Oravakallio;OVK
Oravivaara;OVV
Ojajärvi;OÄI
Puotila;PT
Pelkola;PA
Pajari;PAJ
Paakkola;PAK
Panttila;PAN
Papero;PAP
Parikkala;PAR
Pankakoski;PAS
Patuna;PAT
Padasoja;PDO
Pero;PE
Pello;PEL
Petas;PET
Peura;PEU
Palokangas;PGS
Pihlajavesi;PH
Pihlajamäki;PHM
Pitkäaho;PHO
Pauhu;PHU
Pyhäsalmi;PHÄ
Pitkälahti;PI
Piipsjärvi;PIJ
Piikkiö;PIK
Pinjainen;PIN
Pitkäperä;PIT
Piuha;PIU
Perkjärvi;PJ
Paukkala;PJA
Pirttijärvi;PJI
Pohjakoski;PJK
Pitäjänmäki;PJM
Pajusuo;PJS
Pajujärvi;PJV
Patojärvi;PJÄ
Puska;PK
Parikka;PKA
Paakki;PKI
Poikkeus;PKK
Pikkarala;PKL
Pukinniemi;PKN
Parkano;PKO
Pekanpää;PKP
Puukari;PKR
Pohjankuru;PKU
Pääskylahti;PKY
Pulsa;PL
Puistola;PLA
Piilikangas;PLG
Perälahti;PLH
Piili;PLI
Palokoski;PLK
Pellesmäki;PLM
Palopuro;PLP
Palosuo;PLS
Joensuu Peltola;PLT
Pohjois-Louko;PLU
Pihlava;PLV
Päivölä;PLÄ
Pieksämäki;PM
Pieksämäki p;PIE
Parkkima;OMA
Peltosalmi;PMI
Pukinmäki;PMK
Pieksämäki lajittelu;PMLA
Pieksämäen tavara-asema;PMT
Pohjamäki;PMÄ
Panelia;PN
Pennala;PNA
Pienkylä;PNK
Parantala;PNL
Puntala;PNT
Pännäinen;PNÄ
Paimio;PO
Potila;POA
Pohjois-Haaga;POH
Poiksilta;POI
Pokra;POK
Pomarkku;POM
Porokylä;POR
Palta Oy;POY
Pihtipudas;PP
Perälä;PR
Paloranta;PRA
Pori;PRI
Pursijärvi;PRJ
Pirttikangas;PRK
Parola;PRL
Parkumäki;PRM
Puro;PRO
Parpola;PRP
Pirttiselkä;PRT
Porvoo;PRV
Paasioja;PSJ
Pesiökylä;PSK
Pasila;PSL
Pasila alapiha;PSLA
Pasilan tavara-asema;PSLT
Pasila autojuna-asema;PAU
Pasanen;PSN
Pikkusuo;PSU
Patokangas;PTG
Partaharju;PTH
Poitti;PTI
Paimenportti;PTI
Petäjäjärvi;PTJ
Pintuslampi;PTL
Paltainen;PTN
Paltamo;PTO
Pietarsaari;PTS
Pintuinen;PTU
Putikko;PU
Puujoki;PUJ
Punkaharju;PUN
Puolukkasuo;PUO
Purola;PUR
Paukaneva;PVA
Puhos;PUS
Petäjävesi;PVI
Palvajärvi;PVJ
Porvoon keskusta;PVK
Päävaara;PVR
Pyhäjärvi;PY
Pyhäkumpu erkanemisvaihe;PYE
Pylväsjoki;PYJ
Pyhäkumpu;PYK
Pynttäri;PYN
Pyssy;PYS
Pyöree;PYÖ
Pälkjärvi;PÄI
Pälsaari;PÄL
Päsinselkä;PÄS
Petäjävesi;PVI
Perniö;PÖ
Pöljä;PÖJ
Pölläkkälä;PÖL
Ruoholahti;RL
Rastila;RS
Rautatientori;RT
Raemäki;RAE
Rauha;RAH
Raisio;RAI
Rahola;RAL
Rauman satama;RAS
Rautaruukki;RAT
Raitoo;RAT
Rautu;RAU
Raudanjoki;RDI
Raudanlahti;RDL
Riste;RE
Retretti;REE
Reitkalli;REK
Ruha;RHA
Raahe;RHE
Rahkee;RHK
Rauhalahti;RHL
Rahkmala;RHM
Riihivuori;RHV
Riihimäki;RI
Riihimäki r;RII
Rikkilä;RIK
Rieskala;RIL
Riihimäki lajittelu;RILA
Rimmi;RIM
Raunio;RIO
Ristimäki;RIS
Riuttanen;RIU
Riihimäen tavara-asema;RIT
Rajajoki;RJ
Rajaperkiö;RJP
Ristijärvi;RJR
Rajasuo;RJS
Rajasuvanto;RJS
Ristijärvi;RJV
Rautjärvi;RJÄ
Ruukki;RKI
Rekola;RKL
Rukkamäki;RKM
Ruokosaari;RKS
Raudaskylä;RKÄ
Rautalahti;RL
Rahkola;RLA
Relletti;RLL
Ratikylä;RLÄ
Rajamäki;RM
Rauma;RMA
Rantasalmi;RMI
Rasimäki;RMK
Rummukka;RMM
Rautamo;RMO
Rauhamäki;RMÄ
Ryönönjoki;RNJ
Ristinummi;RNM
Rauma;RMA
Runni;RNN
Ristinpohja;RNP
Rantoo;RNT
Ristonaho;RO
Rovaniemi;ROI
Roikonkoski;ROK
Rotkola;ROT
Rouanaho;ROU
Rantaperkiö;RP
Riippa;RPA
Rautpohja;RPH
Raippo;RPO
Rapasaari;RPS
Rautuvaara;RRA
Ruskeasanta;RS
Ruusumäki;RSM
Ruosniemi;RSN
Raasepori;RSP
Ristiina;RST
Runkosuo;RSU
Rintakorpi;RTK
Rahtula;RTL
Ruutana;RTN
Ristseppälä;RTS
Rytty;RTY
Ruikka;RUK
Rumo;RUM
Runko;RUN
Ruusutolppa;RUS
Raivola;RV
Rova;RVA
Revonselkä;RVS
Ryttylä;RY
Räntämäki;RÄM
Rättimäki;RÄT
Röykkä;RÖ
Rödbrott;RÖT
Röyttä;RÖY
Sörnäinen;SN
Siilitie;ST
Saakoski;SAA
Sarvikumou;SAK
Sammalisto;SAM
Sarja;SAR
Saunakallio;SAU
Savio;SAV
Seinäjoki s;SEI
Seikka;SEK
Selki;SEL
Seesta;SET
Skogby;SGY
Simola;SI
Siilinjärvi;SIJ
Siilinjärvi s;SII
Simo;SIM
Sipilä;SIP
Siuro;SIU
Sääksjärvi;SJ
Sorvanoja;SJA
Suojoki;SJK
Sokojoki;SJO
Suoju;SJU
Syrjävaara;SJV
Suojätvi;SJÄ
Seinäjoki;SK
Sarakangas;SKG
Syrjämäki;SKI
Sakkola;SKL
Sänkimäki;SKM
Sulkainen;SKN
Sotkamo;SKO
Siikasuo;SKS
Seinäjoki;SK
Seinäjoki tavara;SKT
Sukeva;SKV
Savonlinna;SL
Saksala;SLA
Sköldvik;SLD
Satuli;SLI
Savonlinna-Kauppatori;SLK
Salla;SLL
Salmi;SLM
Salminen;SLN
Salo;SLO
Suonenjoki;SNJ
Suolusmäki;SLU
Sydänmaa;SM
Siitama;SMA
Särkisalmi;SMI
Sysmäjärvi;SMJ
Salmenkylä;SMK
Sammallahti;SML
Salmivaara;SMV
Saunamäki;SMÄ
Simana;SNA
Suonenjoki;SNJ
Saunakari;SNK
Suoniemi;SNM
Suontee;SNT
Suunu;SNU
Somerharju;SO
Soinlahti;SOA
Sotjärvi;SOJ
Sotka;SOK
Sommee;SOM
Sorsasalo;SOR
Sorkia;SOT
Sapra;SPA
Sieppijärvi;SPJ
Simpele;SPL
Sahinpuro;SPO
Sepänsalmi;SPS
Sappu;SPU
Selänpää;SPÄ
Saari;SR
Sairala;SRA
Sortavalan satama;SRH
Saarijärvi;SRJ
Saarijärvi kk;SRK
Saarela;SRL
Saramäki;SRM
Suonperä;SRÄ
Sääskiniemi;SSK
Soso;SSO
Salpausselkä;SSS
Siltasuo;SSU
Santala;STA
Siuntio;STI
Santalahti;STL
Suistamo;STO
Selantaus;STS
Santti;STT
Santamäki;STÄ
Sisättö;STÖ
Summa;SU
Suhmura;SUH
Suinula;SUI
Suihkola;SUK
Joensuu Sulkulahti;SUL
Sulkujärvi;SULK
Suolahti;SUO
Suolahti satama;SUOS
Survoneva;SUR
Santavaihde;SV
Saviharju;SVH
Sievi;SVI
Sauvamäki;SVK
Suvalto;SVL
Saviaho;SVO
Savontalo Kouvola;SVT
Säynätsalo;SY
Syrjä;SYR
Syväri;SYV
Säkäniemi;SÄ
Säkylä;SÄK
Säämäjärvi;SÄM
Särkilahti;SÄR
Säynäjärvi;SÄY
Sågars;SÅG
Helsinki Sörnäinen;SÖ
Taavetti;TA
Takoja;TAK
Tammisto;TAM
Tammisuo;TAMO
Tapavainola;TAP
Trollböle;TBÖ
Taipale;TE
Tehtaanmäki;TEH
Tennilä;TEN
Tehtaanportti;TEP
Tähtelä;TH
Tehola;THL
Tuohimutka;THM
Tiihola;THO
Tali;TI
Tiensuu;TIS
Tiusala;TIU
Tiviä;TIV
Terijoki;TJ
Tuomioja;TJA
Tervajoki;TK
Tikkakallio;TKA
Torkkeli;TKE
Timankangas;TKG
Tikkala;TKK
Tikkurila;TKL
Tikkurila k;TIK
Tahkoluoto;TKO
Tikanperä;TKP
Tokkari;TKR
Turku;TKU
Turku tavara;TKUT
Toijala;TL
Tenkkula;TLA
Taivalkoski;TLK
Tammisaari;TMS
Talma;TLM
Talviniska;TLN
Toijala s;TLS
Talvivaara;TLV
Tuomikylä;TMK
Törmälä;TML
Tammisaari;TMS
Pieksamäki Temu;TMU
Tuulimäki;TMÄ
Tapanila;TNA
Tani;TNI
Tohmajärvi;TOH
Toivala;TOI
Toikkala;TOK
Tolsa;TOL
Tommola;TOM
Torvinen;TON
Tornio-Pohjoinen;TOP
Tornio;TOR
